radical	strokeCount	meaningReading	frequency	joyoKanjiFreq	examples	group
一	1	{{nihongo|one|いち|ichi|一}}	42	50	七三丈不丘世	
丨	1	{{nihongo|line, stick|ぼう|bō|棒}}	21		中	
丶	1	{{nihongo|dot|てん|ten|点}}	10		丸主	
丿	1	{{nihongo|bend, possessive particle ''no''|の|no|ノ}}	33		久之乎	
乙 (乚)	1	{{nihongo|second, latter|おつ|otsu|乙}}	42		九也	
亅	1	{{nihongo|hook, hooked stick|はねぼう|hanebō|撥棒}}	19		了事	
二	2	{{nihongo|two|に|ni|二}}	29		五井些亞	
亠	2	{{nihongo|pot lid|なべぶた|nabebuta|鍋蓋}}	38		亡交京	
人 (亻,𠆢)	2	{{nihongo|human|ひと|hito|人}}	794	83	仁休位今	Top 25%
儿	2	{{nihongo|legs, human underneath|にんにょう|ninnyō|人繞}}	52		兄元	
入 (𠆢)	2	{{nihongo|enter|いる|iru|入}}	28		入全兩	
八 (ハ)	2	{{nihongo|eight, eight-head|はちがしら|hachigashira|八頭}}	44		公六共兵	
冂	2	{{nihongo|inverted box, window frame|まきがまえ|makigamae|牧構}}	50		内再	
冖	2	{{nihongo|cover, ''wa'' crown|わかんむり|wakanmuri|ワ冠}}	30		冗冠	
冫	2	{{nihongo|ice, 2-stroke water|にすい|nisui|二水}}	115		冬冶冷凍	
几	2	{{nihongo|desk|つくえ|tsukue|机}}	38		凡	
凵	2	{{nihongo|container, inbox|うけばこ|ukebako|受け箱}}	23		凶出函	
刀 (刂,⺈)	2	{{nihongo|sword|かたな|katana|刀}}	377	37	刀分切初利刻則前	Top 75%
力	2	{{nihongo|power, force|ちから|chikara|力}}	163		力加助勉	Top 75%
勹	2	{{nihongo|embrace, wrap frame|つつみがまえ|tsutsumigamae|包構}}	64		勾包	
匕	2	{{nihongo|spoon ''hi''|さじのひ|sajinohi|匕のヒ}}	19		化北	
匚	2	{{nihongo|box frame|はこがまえ|hakogamae|匚構}}	64		匣	
亡 (匸)	3	{{nihongo|dead, hiding frame|かくしがまえ|kakushigamae|隠構}}	17		亡 妄 忙 忘 盲 荒 望 慌 網	
十	2	{{nihongo|ten, complete|じゅう|jū|十}}	55	35	十千午半博	Top 75%
卜 (⼘,⺊)	2	{{nihongo|divination ''to''|ぼくのと|bokunoto|卜のト}}	45		占卦	
卩 (㔾)	2	{{nihongo|seal|ふしづくり|fushidzukuri|節旁}}	40		印危卵	
厂	2	{{nihongo|cliff|がんだれ|gandare|雁垂}}	129		厚原	
厶	2	{{nihongo|private|む|mu}}	40		去參	
又	2	{{nihongo|again, right hand|また|mata}}	91		友反取受	
口	3	{{nihongo|mouth, opening|くち|kuchi}}	1,146	100	口古可名君否呉告周味命和哲唐善器	Top 25%
囗	3	{{nihongo|enclosure|くにがまえ|kunigamae|国構}}	118		四回図国	Top 75%
土	3	{{nihongo|earth|つち|tsuchi}}	580	42	土在地型城場壁壓	Top 50%
士	3	{{nihongo|scholar, bachelor|さむらい|samurai|侍}}	24		士壹	
