Radical	strokeCount	meaningReading
亻	2	Variant of 人
𠆢	2	Some dictionaries use 个.
丷 (䒑)	2	Variant of 艸/艹
マ	2	Katakana ま-ma.
九	2	Japanese nine, きゅう-kyū.
ユ	2	Katakana ゆ-yu.
乃	2	From 丿.
刂	2	Variant of 刀
⺈	2	Variant of 刀 or Radical 20 勹
⺌	3	Variant of 小.
川	3	Variant of 巛.
彑	3	Variant of 彐.
也	3	From 乙.
亡	3	From 亠.
及	3	及 = '''丿''' + ㇋ + ㇃.
久	3	From 丿.
忄	3	Variant of 心.
扌	3	Variant of 手.
氵	3	Variant of 水.
犭	3	Variant of 犬.
灬	4	Variant of 火.
元	4	From 儿.
井	4	井 = '''二''' + ノ + ｜
勿	4	From 勹.
尤	4	Variant of 尢.
五	4	Japanese five.
屯	4	From 屮/艸/艹
巴	4	From 已/己
礻	4	Variant of 示
衤	5	Variant of 衣.
世	5	Modern form of 丗, from 山 + '''一'''.
巨	5	From 匚 + '''工'''.
冊	5	Modern form of 册, from '''冂'''. (⺵)
母	5	Variant of 毋.
覀	6	Variant of 西
⺮	6	Variant of 竹
奄	8	From '''大''' + 电 (Chinese).
岡	8	岡 = 冂 + 䒑 + '''山'''
免	8	免 = ⺈ + 口 + ｜ + '''儿'''
斉	8	Variant of 齊.
品	9	Variant of 口.
啇	11	啇 = 立 + 冂 + 古 (十 + '''口''')
無	12	Variant of 无.
